label,text
From: Lee Terry (Representative from Nebraska),Gearing up for coffee w/ constituents this morning at D &amp; K's Gretna Cafe at 8:30. Be sure to stop by..looking forward to speaking w/ folks!
From: Timothy Bishop (Representative from New York),.@askgeorge has been a dedicated public servant &amp; his leadership on @edworkforcedems will be missed. I wish him the best in retirement.
From: Debbie Wasserman Schultz (Representative from Florida),"#Florida is ""tale of what went right with President Barack Obama's health care overhaul‰Û despite GOP opposition: http://t.co/bhsAcU3Wje"
From: Kurt Schrader (Representative from Oregon),"If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight"
From: Vern Buchanan (Representative from Florida),FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5
From: John McCain (Senator from Arizona),Meeting the press in #Jerusalem with @GrahamBlog #Israel http://t.co/FIbhbOpSwh
From: Mark Pocan (Representative from Wisconsin),"Video of my speech on house floor, rejecting #GOPBudget that cuts jobs in #WI and turns #Medicare into a voucher http://t.co/tItIxBrF4C"
From: Tom Harkin (Senator from Iowa),What other options are there for raising $350 billion with such a negligible impact on middle-class Americans and Main Street businesses?
From: Timothy Bishop (Representative from New York),Thanks to LI Farm Bureau for hosting me to speak directly with farmers about issues most important to them http://t.co/ttbdLjiMjd
From: Steny Hoyer (Representative from Maryland),"For 23 years, the Americans with Disabilities Act has been opening doors for tens of millions of Americans. http://t.co/tezFwZ1iS1"
From: Cory Booker (Senator from New Jersey),Is that delight or terror MT @LyndaWoolard Can u see my delight when Cory taught me how 2 take a selfie in yesterday? http://t.co/GJd2pmcMOY
From: Chaka Fattah (Representative from Pennsylvania),"RT @AAAS_News: ""Basic science is a riskier investment compared with applied research, but one with larger potential payoffs,"" #OpEd http://‰Û_"
From: Heidi Heitkamp (Senator from North Dakota),Promising @FannieMae is paying back more $ to US taxpayers. Reinforces 5 yrs after crash we need #GSEreform to help prevent another bailout
From: Edward Markey (Senator from Massachusetts),#KXL oil export strategy makes US a middle man &amp; worsens #climatechange.Senate shld reject it http://t.co/Z8fiHvgckO http://t.co/p4pk9gfw4r
From: Mitch McConnell (Senator from Kentucky),WTVW-TV report: McConnell sponsors Sunscreen Innovation Act (+playlist): http://t.co/J0yooWhFTR #Kentucky
From: Patrick Murphy (Representative from Florida),We need to work together to find real solutions to @FixtheDebt before @TheCanKicksBack http://t.co/5HXcsgTn79
From: Cory Gardner (Representative from Colorado),Congrats to the #coleg - last day of session.
From: Ileana Ros-Lehtinen (Representative from Florida),DemandarÌÁ Obama un recuento en #Venezuela? Creo q deberÌ_a. Lee mi carta y tweet @whitehouse para decirle lo q piensas http://t.co/wrhmJLBKzh
From: Scott Peters (Representative from California),As @RepJoeGarcia says this isn't everything each side wants but is a point for reasonable bipartisan support to fix the broken system.
From: Adam Schiff (Representative from California),ICYMI: I spoke with @WolfBlitzer tonight about the #SonyHack &amp; North Korea. http://t.co/PRvJK3Nb3C
From: Doug Lamborn (Representative from Colorado),Hosting the #Colorado30 Group today on the Hill. Strengthening connections with CO  leaders on national defense. http://t.co/wJP0yUN2AF
From: John McCain (Senator from Arizona),Looking fwd to #ThirteenSoldiers book signing tomorrow @ChangingHands Bookstore in #Tempe - more info: http://t.co/tvuwI3Xbuz #Arizona
From: Pete Sessions (Representative from Texas),Today marks the 4th time in 5 years that Pres. Obama missed the legal deadline to submit his budget plan: http://t.co/RivWKVg1 #RequireAPlan
From: Kyrsten Sinema (Representative from Arizona),"Come get help w/fed agencies at Mobile Office Hrs: Th, 11am-12:30pm, Acacia Library (750 E. Townley Ave, Phx). http://t.co/83jgOjKirc"
From: Kevin McCarthy (Representative from California),The Obama economy just isn‰Ûªt cutting it for hardworking Americans ‰ Õ http://t.co/yagUZrvj6i
From: Robert Scott (Representative from Virginia),"Great to see Ft Monroe Authority Ex. Dir. Oder, Dr. Wagner &amp; Dr. Koch at the State of the Region presentation in Hpt http://t.co/DtPxkJWBsi"
From: Robert Goodlatte (Representative from Virginia),Joining the @FoxMorningNews in Roanoke just after 8AM. Hope you'll tune in! #VA06 #rke
From: Billy Long (Representative from Missouri),"RT @jaketapper: Pentagon:  Sgt. Stephen New, 29, of Bartlett, TN, died July 28 in Bagram after unit was attacked by small arms fire http://‰Û_"
From: Jack Kingston (Representative from Georgia),"DoD Secy Chuck Hagel, reportedly in charge of #Bergdahl exchange, claimed he ""doesn't know..."" today via @FreeBeacon https://t.co/tLImg8ASlt"
From: Mario Diaz-Balart (Representative from Florida),Can it be any clearer? Lerner and #IRS were covering their tracks! http://t.co/C2P3NsOkP9
From: Brian Higgins (Representative from New York),Hear my recent discussion on #Syria with Ireland‰Ûªs @rtenews (begins at 5:45):   http://t.co/vKeyErEUj4
From: Roy Blunt (Senator from Missouri),RT to tell President Obama the buck stops with him. http://t.co/n8t627WxCn #IRS #IRSscandal #Benghazi
From: Bernard Sanders (Senator from Vermont),"Must Read: How to get a raise at McDonald‰Ûªs - @HaroldMeyerson, @WashingtonPost: http://t.co/zh4cva5Txz #StrikeFastFood"
From: Yvette Clarke (Representative from New York),The number of people signing up for health insurance continues to increase.
From: Michael McCaul (Representative from Texas),RT @HouseHomeland: ICYMI: Chairman @McCaulPressShop on @CBSThisMorning on the #Boston bombing investigation and yesterday's hearing: http:/‰Û_
From: Daniel Lipinski (Representative from Illinois),Thanks to @MayorNoak and #WillCounty Larry Walsh for joining me @LewisUniversity Airport for today's good news. http://t.co/txSt4JgJEl
From: Nita Lowey (Representative from New York),Thoughts &amp; prayers are w/ the families of the 3 innocent Israeli teens. Abbas must denounce terrorism &amp; bring those responsible to justice
From: Lindsey Graham (Senator from South Carolina),"President Obama wanted 3 things on gun control -- ban assault weapons, limit magazine sizes, and expand background checks. He'll lose all 3."
From: Lynn Jenkins (Representative from Kansas),Happening now: Ways &amp; Means hearing w/ IRS Commissioner Koskinen. Tune in to http://t.co/u9cJET2oml to hear my question re: ACA tax concerns
From: Tom Rooney (Representative from Florida),Don't forget to cast your vote #FL17 Congressional Art Competition. Winner will hang in US Capitol https://t.co/hRHzBBGi8W #sayfie
From: Tom Graves (Representative from Georgia),"Just about to join @seanhannity's radio show at about 4:05pm ET, listen live http://t.co/BwXaP3KjKV"
From: Jeanne Shaheen (Senator from New Hampshire),Senate passes #VAWA reauthorization in vote of 78-22
From: John Shimkus (Representative from Illinois),Attending the State of the Union. http://t.co/nKfjFwzz
From: Pete Sessions (Representative from Texas),"I'm on the House floor to manage the rule for the House GOP plan to keep govt open, stop #ObamaCare &amp; protect troops: http://t.co/7PlgqhX4g4"
From: John Barrasso (Senator from Wyoming),Was an honor &amp; a privilege to visit &amp; thank @WYOguard troops stationed in #Bahrain this 4th of July weekend. http://t.co/rX1RdulMYx
From: Amy Klobuchar (Senator from Minnesota),Senate will be done but mess inHouse:Republican hardliners block strategy to avoid shutdown  @washingtonpost http://t.co/ARxkbe8bbk
From: Raul Ruiz (Representative from California),ICYMI: I talked to @MyDesert about how Congress will have to work together to pass a strong #CIR bill in the House http://t.co/1syj2GeV4c
From: Richard Burr (Senator from North Carolina),Parents want to know their kids are in a safe place w/ qualified providers. CCDBG is essential 4 #ChildCareProtection http://t.co/WXfvAgfe2L
From: Mike Lee (Senator from Utah),Should Utah be forced by the EPA to lower ozone levels below the naturally occurring level? http://t.co/ONGfKQxOKK @UtahPoliticoHub #utpol
From: Bill Cassidy (Representative from Louisiana),"""Landrieu still has only about a 1-in-3 chance of winning even when her incumbent status is included"" http://t.co/dTCGtHynv8 #LASEN"
From: Harold Rogers (Representative from Kentucky),@MatthewWYMT &amp; @MichelleWYMT stopped by my office earlier to talk about #RxDrugAbuse. Watch @WYMT at 6PM. http://t.co/28tCNbGFCA
From: Tim Walz (Representative from Minnesota),"So very sad to hear about the passing of Jim Ragsdale. He was a true professional &amp; a kind soul.  Jim, you will be missed greatly."
From: Scott Peters (Representative from California),"""Balboa Park is the only place in USA with 28 major cultural institutions w/in 1 sq mile."" #arts cc:.@RepSusanDavis http://t.co/XGGrkDI9Iv"
From: Patrick Leahy (Senator from Vermont),"PHOTO: Joined ""World's Most Interesting Man"" (from America's Most Interesting State) @ #landmines event on Cap. Hill http://t.co/6cVbofvNLu"
From: Jim Langevin (Representative from Rhode Island),"W/RI Cong delegation, Mayors, police, @tenygross &amp; families affected by guns to present unified voice on gun safety http://t.co/9e78ICsvOq"
From: Niki Tsongas (Representative from Massachusetts),Congrats @Hanscom_AFB C-IED Team! Their work on detecting &amp; destroying IEDs earned the Theodore von Karman Award http://t.co/2wOiL3arPt
From: Michele Bachmann (Representative from Minnesota),Since 1970 our spending has grown 288% while the median income has grown only 24%-- a difference of 264%. http://t.co/G5q55bWI #tcot
From: Barbara Mikulski (Senator from Maryland),Mandela. Chg. South Africa chg the world. Inspired hearts n minds of millions of us. Condolences to his family n south african people
From: Jim Himes (Representative from Connecticut),"Got a mess of oysters and clams out on Sound this morning. These guys have a rendezvous with white wine, fresh garlic, shallots and pepper."
From: Lois Frankel (Representative from Florida),RT if you think America succeeds when #WomenSucceed http://t.co/uBQRhIKuvg
From: Adam Kinzinger (Representative from Illinois),Tips for staying warm should you be outside this week helping clean after recent storms via the Coal City Courant: http://t.co/j5hwgEkIdP
From: David Schweikert (Representative from Arizona),RT @kevinscholla: My interview w/@RepDavid Schweikert on @SarahNETRadio! Huge meeting coming up w/constituents! http://t.co/Pf2edk5kxG ‰Û_
From: Vicky Hartzler (Representative from Missouri),"St. Robert Community Center, 114 JH Williamson Dr. In St. Robert (2 of 3)"
From: Scott Perry (Representative from Pennsylvania),Joining @RobbHanrahanCBS on Face the State on @CBS21NEWS around 11:30 this morning to talk about #Ebola. http://t.co/WCqg6KpPF5
From: Martha Roby (Representative from Alabama),"In the hustle and bustle of the holidays (and don't forget its also Iron Bowl week), I know its easy to get distracted."
From: John Boehner (Representative from Ohio),"Great to see -- @johnerardi says, ""Ted Kremer will be @Reds' batboy tonight"" http://t.co/mmmBPMLauQ"
From: Joe Heck (Representative from Nevada),Celebrating @USMC 239th bday at So. NV Marine Corps Ball - largest non-active duty ball in the world! Semper Fi! http://t.co/f8D9AoNFpL
From: Phil Roe (Representative from Tennessee),Now is the Time to Balance the Budget http://t.co/AaOKH9gG
From: Michael Crapo (Senator from Idaho),Welcome to @SenateBanking @Sen_JoeManchin @elizabethforma @SenatorHeitkamp @TomCoburn &amp; @SenDeanHeller. Look fwd to working with all of you.
From: Randy Hultgren (Representative from Illinois),"April is Sexual Assault Awareness Month. According to @RAINN01, 60% of sexual assaults are not reported to police. #StandUp #SAAM"
From: Peter Roskam (Representative from Illinois),House GOP r focused on pro-growth bills #4jobs. It‰Ûªs time #SenateDems act on these bills so ppl can get back 2 work http://t.co/DJSsQxyUrC
From: Debbie Wasserman Schultz (Representative from Florida),.@kerrywashington Congrats on @ELLEmagazine cover! So excited for you! #girlpower
From: Bob Corker (Senator from Tennessee),#SFRC hearing today at 10:00 a.m. ET with Secretary Kerry. Watch live: http://t.co/Ay1KZ8x97x
From: Erik Paulsen (Representative from Minnesota),For 3 mos. the IRS failed to tell Congress they couldn't provide Lerner emails. My speech abt need for accountability:http://t.co/spq6b3D5nW
From: Bill Enyart (Representative from Illinois),Been discussing Impact Aid &amp; military students in Mascoutah. 60% of students at Mascoutah are affiliated w/ @ScottAFB http://t.co/I2prVghIfL
From: Pat Roberts (Senator from Kansas),Thanks to the Pawnee County folks who turned out to the Town Hall meeting in Larned. These folks are‰Û_ http://t.co/sqsEF5p5vL
From: Robert Pittenger (Representative from North Carolina),.@theobserver editors agree the President's admin earned their reputation for obfuscation &amp; disregard for failures http://t.co/mpotP2fw1k
From: Mark Meadows (Representative from North Carolina),It's time the Obama Admin answer to the American people on #Benghazi. Four Americans were murdered and no one has been held accountable.
From: Frederica Wilson (Representative from Florida),Rep. Wilson commemorates the third anniversary of the earthquake with a call to action: Remember #Haiti. http://t.co/05VbzrDW
From: John Boehner (Representative from Ohio),"Vets groups, editorials, Democrats agree: more funding ‰äÊ more #VAaccountability http://t.co/9i3lXJxzaC"
From: Eleanor Norton (Representative from NA),"Looking for Job? Help me, help residents looking for a job. Participate in our Roundtable on Unemployment. Call my Office at 202-408-9041."
From: Joe Barton (Representative from Texas),Traveling 6th District! Spent Tues speaking to @fwhcc &amp; awarding Ryan Esplin the TDF Foundation Veterans Scholarship https://t.co/JYLQNqaMwJ
From: John Culberson (Representative from Texas),Great crowd at the town hall tonight. Thanks to all those who came out and asked questions. http://t.co/ne0OdbFo8u
From: Chris Van Hollen (Representative from Maryland),Almost one year since the Senate passed comprehensive immigration reform. The #TimeIsNow for the House to act! http://t.co/seSuk4jjwG
From: Todd Rokita (Representative from Indiana),I am deeply concerned by and condemn the over 400 rocket attacks launched by Hamas against Israel. http://t.co/cUa9vEK9pq
From: Ileana Ros-Lehtinen (Representative from Florida),"RT @UANI: The only vote that counts in the #iranelection today: that of the unelected ""Supreme Leader"" http://t.co/a3acacQqrh"
From: Dana Rohrabacher (Representative from California),@ladybigmac @SpeakerBoehner @virginiafoxx @RepTomReed @KeithRothfus @RepKevinCramer Yep Obama uses fed agencies against political opponents
From: Donna Edwards (Representative from Maryland),"@gillespie_r6 let's not make the same mistake in the future by appreciating fully what happened. Yes, let's move forward, but facts matter."
From: Maria Cantwell (Senator from Washington),Congratulations to Sally Jewell for being officially sworn in as the new @Interior secretary: http://t.co/Zi07xEh0gd
From: Tammy Baldwin (Senator from Wisconsin),Our #MadeInWI economy is always cooking up something good! Check out @MadisonCollege's new culinary training center. http://t.co/19lRCCwwpp
From: Donald Payne Jr. (Representative from New Jersey),"The faces of hunger are veterans, children, seniors, and the disabled. .@GOPLeader Don't cut #SNAP. #EndHungerNow http://t.co/ZVImYZi1Kc"
From: Pat Meehan (Representative from Pennsylvania),#Delco County Council Chairman Tom McGarrigle has declared a #weather-related State of Emergency
From: Michael Fitzpatrick (Representative from Pennsylvania),"Today, I held an Autism round table at Peaceful Living in New Britain. Great dialog between local groups in the... http://t.co/qpFmEVzMm3"
From: Betty McCollum (Representative from Minnesota),Thanks @ONEcampaign for visiting my St. Paul staff &amp; for all the great work you do fighting global #poverty &amp; #hunger http://t.co/xCsocfoEwc
From: Mike Pompeo (Representative from Kansas),"#ProDDEnergy Here's the thing: Oil &amp; wind don't compete. Yet @Stabenow said this morning that ""wind needs to catch up."""
From: Richard Blumenthal (Senator from Connecticut),I'll continue working for strong bipartisan comprehensive #immigrationreform plan including #DREAMAct w support of groups like @CT4aDREAM
From: Kelly Ayotte (Senator from New Hampshire),Need to find most effective ways to address this #addiction crisis so that people like the Griffins know where to go to get help
From: Dan Benishek (Representative from Michigan),"The President must never be able to make unilateral decisions about enforcing some laws, but not others. http://t.co/cVaIt2em3X"
From: Mitch McConnell (Senator from Kentucky),"President Obama missed this year‰Ûªs legal deadline to submit a budget to Congress, just like he has nearly every year of his presidency."
From: C.A. Dutch Ruppersberger (Representative from Maryland),".@DeltaDiva3 One idea is to allow students to pay the same rate on govt loans as big banks, which are currently about 0.75% #AskDems"
From: Sheila Jackson-Lee (Representative from Texas),School shootings should not be our nation's norm.  http://t.co/VECoS6ErSB
From: Bill Johnson (Representative from Ohio),My stamement on the House passed appropriations bill: http://t.co/G7VhSaHfm6
From: Todd Rokita (Representative from Indiana),"Yesterday, I shared Janet‰Ûªs story on the House Floor. http://t.co/s1kYR2TZ9f"
From: AndrÌ© Carson (Representative from Indiana),@SenDanCoats Great movie!
From: Ann Wagner (Representative from Missouri),Honored to spend time with employees at Boeing last night to celebrate their long history of service to our country. http://t.co/WDeQG0odmO
From: John Cornyn (Senator from Texas),"Meeting with my friend Governor Perry this morning, who is in town to address CPAC"
From: John Hoeven (Senator from North Dakota),TUNE IN starting @ 9:30am CT for live video of USS North Dakota christening ceremony http://t.co/XynmDj6Jx5 or http://t.co/yEsSJbsVTf
From: Christopher Murphy (Senator from Connecticut),"Today: Farmington, EHartford, Willimantic, Thompson, Hartford, Manchester."
From: Robert Wittman (Representative from Virginia),"My sympathy and my prayers go out to the families of the victims, and the Quantico community."
From: Sean Maloney (Representative from New York),We join together this month to commemorate Black History Month to honor the remarkable accomplishments and... http://t.co/sUEkAZ8crM
From: Barbara Boxer (Senator from California),"#RyanBudget hurts everyone in this country. When it comes to Medicare, it hurts seniors on the program now and seniors in the future."
From: Dean Heller (Senator from Nevada),Always great to see Senator Richard Bryan. #HomeMeansNevada #BattleBorn http://t.co/KsBvjCADny
From: Jerry McNerney (Representative from California),At the @AntiochPolice 47th neighborhood cleanup working to keep #Antioch &amp; #CA9 clean http://t.co/OxzGMnIcjl
From: Tom Cotton (Representative from Arkansas),3 Arkansas counties have been designated as federal disaster areas. My statement: http://t.co/nUBElBgdft
From: Mike Coffman (Representative from Colorado),ICYMI -  @USATODAY on legislation I introduced to improve research for Veterans struggling with Gulf War Illnesses http://t.co/STy3E46t8B
From: Paul Tonko (Representative from New York),We're running out of time to renew the Highway Trust Fund. It's time to act: http://t.co/q4oDVjtPTE  http://t.co/YuI9XOFjOA
From: Benjamin Cardin (Senator from Maryland),".@AtHomePundit CR isnt good policy bc we cant adjust spending levels, but its better than shutting down gov. We shld return to regular order"
From: Lynn Jenkins (Representative from Kansas),"As Obama talked abt infrastructure projects, I heard a firsthand account of how delay of #Keystone negatively impacted business. #Time2Build"
From: Larry Bucshon (Representative from Indiana),Enjoyed it! ‰ÛÏ@AttyAbdul: Good chat with @RepLarryBucshon @93wibc. Up next @MayorBallard‰Û
From: Ileana Ros-Lehtinen (Representative from Florida),"Let‰Ûªs thank our #Veterans 4 their service + sacrifice! Ceremony, parade + picnic Tue Nov 11 @ 11AM http://t.co/MqHLr1WzEY"
From: Richard Burr (Senator from North Carolina),I hope Senate Dems will seriously consider this amdt &amp; will not throw our veterans &amp; unemployed under the bus. http://t.co/AfMklJ30LP
From: Ileana Ros-Lehtinen (Representative from Florida),Admin reached deal w the man who bragged of advancing #nukes prgrm thru deception. I remain skeptical. #NKorea all over again.
From: Darrell Issa (Representative from California),Breaking the Silence on the IRS Outrage: http://t.co/bX27ADwu2O via @NewYorkObserver #IRStargeting
From: Rob Portman (Senator from Ohio),"Going to be talking w @GolfChannel about #MemorialTournament and my efforts for Congressional Gold Med for #GoldenBear, Jack Nicklaus"
From: Yvette Clarke (Representative from New York),RT @washingtonpost: A transcript of President Obama's speech http://t.co/D6i5rT1wpd #MarchonWashington #MOW50
From: John Garamendi (Representative from California),MT @YubaSutterArts Do you know a student who wants his/her #art displayed at the US Capitol? http://t.co/ReyUuvxuix
From: Rob Portman (Senator from Ohio),@SenRandPaul deserves an answer from Obama Admin questions abt use of force on U.S. Citizens in U.S.(http://t.co/xb7RkjYWCu)
From: Kelly Ayotte (Senator from New Hampshire),Great to meet @horizonbeverage employees. So glad to have them working in NH http://t.co/Vmta6dwA6u
From: Cedric Richmond (Representative from Louisiana),Today the House voted in favor of the National Flood Insurance Fund. This protects over 1300 #Isaac claim payments from being delayed too.
From: Ileana Ros-Lehtinen (Representative from Florida),"Apropiado q Maduro + Ortega juntos en #Nicaragua, ambos manipuladores d elecciones. #Venezuela + Nicaragua necesitan elecciones libres."
From: AndrÌ© Carson (Representative from Indiana),Have a great Labor Day weekend #Indy! Safe travels to you and your family.  I hope to see you out and about in the district.
From: Cory Booker (Senator from New Jersey),@dwaynebenji Thank you so much Dwayne!!!!
From: Sheldon Whitehouse (Senator from Rhode Island),"Thanks again to @AlGore for making the time to speak at #EEDayRI.  And ICYMI, here is the video of his speech: http://t.co/h5oGI3gj9a"
From: Vicky Hartzler (Representative from Missouri),Was glad to welcome Jason Smith to Congress and witness his swearing today. He is an outstanding leader who will represent MO-8 well.
From: Dana Rohrabacher (Representative from California),@et_disclosure I got your message.
From: Kelly Ayotte (Senator from New Hampshire),Great to be at @nnedv breakfast to support efforts to end domestic violence http://t.co/cPdvu76fY6
From: Sherrod Brown (Senator from Ohio),#tbt President FDR signed #SocialSecurity Act into law #OTD in 1935. It‰Ûªs up to us to preserve &amp; protect it now. http://t.co/b2YYBXS3uG
From: Edward Whitfield (Representative from Kentucky),My thoughts and prayers are with those affected by the recent storms in the U.S.!
From: Janice Hahn (Representative from California),A #GOPshutdown will mean the @SBAgov will stop processing loans to American #SmallBusinesses. #EnoughAlready!
From: Todd Rokita (Representative from Indiana),"Live on @DennisDMZ today at 12:45p ET. Dennis out today, @ChristianDMZ guest hosts. Listen live: http://t.co/koyYMOD9Ky"
From: Stephen Fincher (Representative from Tennessee),RT @ncfarmbureau: #FarmBill 2013 Voted out of Senate Ag Committee yesterday now House Ag Committee on schedule to vote their version tonight
From: Cory Booker (Senator from New Jersey),RT @J_Insider: Kosher restaurant caters to a new Newark | NJJN http://t.co/w6GNv6oYA7 @corybooker
From: Scott DesJarlais (Representative from Tennessee),Ex-official claims Clinton allies scrubbed #Benghazi docs in secret sessions http://t.co/G7XYhDvM0G
From: Cory Booker (Senator from New Jersey),@living_rights Thanks so much for checking in. All is going well in this Vegan journey.
From: Frederica Wilson (Representative from Florida),Headed to @WhiteHouse for the signing of bipartisan worker training bill to modernize our workforce development system #WIOA
From: Brad Wenstrup (Representative from Ohio),Tune In: Sec. Kerry is testifying about #syria before the @HASCRepublicans. Watch - http://t.co/5ZzHknJco2
From: Jack Reed (Senator from Rhode Island),The GOP proposal sets no cap on interest rates &amp; could cost students thousands of extra dollars. #DontDoubleMyRate http://t.co/MiIqmRQ1Uj
From: Cory Booker (Senator from New Jersey),We are running late. Heading there now. The mayor VS me. RT @TheClimateHawk we showed up at the showdown.  Watch out for hole 6!
From: Blake Farenthold (Representative from Texas),"Congrats to @SouthwestAir: 43 yrs ago, 1st flights out of @DallasLoveField. We LUV having you serve #TX27 via @CCIntAirport &amp; @AUStinAirport"
From: John Boehner (Representative from Ohio),Via @CNN: ‰ÛÏDemocratic senator asks Obama to delay #Obamacare deadline‰Û http://t.co/tvbzBSaU99 #FairnessForAll
From: Vicky Hartzler (Representative from Missouri),Did you know I am on Instagram? Check it out and follow me! http://t.co/nx05a6uSlE http://t.co/4mLeZz3vcy
